institution_key,name,id,abbreviation,vs_abbreviation,institution_number,legal_status_key,inspectorate_key,company_number,school_category_key,headmaster_salutation_key,headmaster_firstname,headmaster_lastname,school_portal_mail,educational_concept_key,school_property_key,opening_date,owner_id,owner_abbreviation,building_type_key,building_name,building_id,vs_building_abbreviation,street,street_name,house_number,postcode,community,community_key,community_part,community_part_key,longitude,latitude,phone_code_1,phone_number_1,phone_identifier_1,phone_code_2,phone_number_2,phone_identifier_2,phone_code_3,phone_number_3,phone_identifier_3,fax_code,fax_number,school_type_keys,educational_stage_keys,mail,homepage
4331419,"Oberschule ""Anne Frank"" Stauchitz",2249,oaos-stauchitz,,409270004,01,03,06350483,10,w,Yvonne,Naujoks,oaos-stauchitz@schulportal.sachsen.de,,,,383,,01,"Oberschule ""Anne Frank"" Stauchitz",1364,,Riesaer Straße 20,Riesaer Straße,20,01594,Stauchitz,14627260,Stauchitz,170,13.217305021,51.24497651,035268,87270,Telefon,,,,,,,035268,8729970,12,2,mittelschule-stauchitz@t-online.de,https://cms.sachsen.schule/msstauchitz
4331427,Oberschule Strehla,62,oaos-strehla,,002400003,01,03,06350494,10,w,Katrin,Wilczek,oaos-strehla@schulportal.sachsen.de,,,,378,,01,Oberschule Strehla,15,,Leckwitzer Straße 2,Leckwitzer Straße,2,01616,Strehla,14627270,Strehla,070,13.22270737,51.354673846,035264,90262,Sekretariat,035264,22788,Schulleiterin,,,,035264,22787,12,2,Msstrehla@t-online.de,
4130977,Andert-Oberschule Ebersbach,2189,oaos-ebersbach.n,,408430005,01,01,04721328,10,m,Norbert,Worofka,oaos-ebersbach.n@schulportal.sachsen.de,,,,345,,01,Andert-Oberschule Ebersbach,1335,,Sachsenstraße 41,Sachsenstraße,41,02730,Ebersbach-Neugersdorf,14626085,Ebersbach/Sa.,010,14.612715864,50.993131251,03586,370970,Sekretariat,,,,,,,03586,370974,12,2,andert-ms-ebersbach@t-online.de,http://www.andert-oberschule.de
4331161,Oberschule Ebersbach,2235,oaos-ebersbach,,409100004,01,03,06349296,10,w,Birgit,Büchner,oaos-ebersbach@schulportal.sachsen.de,,,,410,,01,Oberschule Ebersbach,1358,,Hauptstraße 125,Hauptstraße,125,01561,Ebersbach,14627030,Ebersbach,040,13.659828233,51.23569782,035208,2230,Telefon,,,,,,,,,12,2,post@os-ebersbach.de,http://www.os-ebersbach.de
4131223,Schkola Oberland - Freie Schule an der Haine (Schule in freier Trägerschaft),2568,faos-ebersbach.n-SCHKO,,413730002,02,01,,10,w,Ute,Wunderlich,faos-ebersbach.n-schko@schulportal.sachsen.de,,,,1070,SCHKO,01,Schkola Oberland - Freie Schule an der Haine (Schule in freier Trägerschaft),1530,,Schulstraße 13,Schulstraße,13,02730,Ebersbach-Neugersdorf,14626085,Ebersbach/Sa.,010,14.575213219,51.007631897,035844,70084,Telefon,,,,03586,390284,Festnetz,03586,390285,12,2,oberland@schkola.de,http://www.schkola.de
4331310,Oberschule Nünchritz,43,oaos-nuenchritz,,001810004,01,03,06350449,10,m,Johannes,Wand,oaos-nuenchritz@schulportal.sachsen.de,,,,391,,01,Oberschule Nünchritz,1987,,Glaubitzer Straße 15,Glaubitzer Straße,15,01612,Nünchritz,14627190,Nünchritz,080,13.383748315,51.30526038,035265,153050,Telefon,,,,,,,035265,153090,12,2,INFO@ms-nuenchritz.de,http://www.sachsen.schule/~ms-nuenchritz
4331740,Evangelische Oberschule Klipphausen (Schule in freier Trägerschaft),4011,faos-klipphausen-SESG,,592950004,02,03,,10,w,Daniela,Vogt,faos-klipphausen-sesg@schulportal.sachsen.de,,,,6175,SESG,01,Evangelische Oberschule Klipphausen (Schule in freier Trägerschaft),4032,,Taubenheimer Straße 34,Taubenheimer Straße,34,01665,Klipphausen,14627100,Ullendorf,420,13.478085569367,51.103674946909,035204,188590,Telefon,,,,,,,,,12,2,sekretariat@evangelische-oberschule-klipphausen.de,https://www.evangelisches-gymnasium-tharandt.de/index.php/oberschule
4330601,"Kurfürst-Moritz-Schule, Oberschule Boxdorf",202,oaos-moritzburg,,152520006,01,03,05102776,10,m,Heiko,Vogel,oaos-moritzburg@schulportal.sachsen.de,,,,36,,01,"Kurfürst-Moritz-Schule, Oberschule Boxdorf",110,,Schulstraße 27,Schulstraße,27,01468,Moritzburg,14627150,Boxdorf,020,13.69693902,51.120705111,0351,8388906,Telefon,,,,,,,0351,8336350,12,2,post@kf-moritz-schule.de,https://www.kf-moritz-schule.de
4331310,Oberschule Nünchritz,43,oaos-nuenchritz,,001810004,01,03,06350449,10,m,Johannes,Wand,oaos-nuenchritz@schulportal.sachsen.de,,,,391,,01,Oberschule Nünchritz,1987,,Glaubitzer Straße 15,Glaubitzer Straße,15,01612,Nünchritz,14627190,Nünchritz,080,13.383748315,51.30526038,035265,153050,Telefon,,,,,,,035265,153090,12,2,INFO@ms-nuenchritz.de,http://www.sachsen.schule/~ms-nuenchritz
4231791,Evangelische Werkschule Milkau Oberschule (Schule in freier Trägerschaft),3415,faos-erlau-EWM,,587720005,02,02,99,10,w,Mandy,Dießner,faos-erlau-ewm@schulportal.sachsen.de,,,,6071,EWM,01,Evangelische Werkschule Milkau Oberschule (Schule in freier Trägerschaft),2221,,Schönfelder Straße 21,Schönfelder Straße,21,09306,Erlau,14522120,Milkau,040,12.883154525,51.032173037,03737,459300,Sekretariat,03737,4593051,Schulleiterin Frau Mandy Dießner,03737,4593031,Kaufm. Leiter Herr Hartwig Reichel,03737,4593012,12,2,schulleitung@werkschule-milkau.de,http://www.werkschule-milkau.de
4331401,Oberschule Schönfeld,2248,oaos-schoenfeld,,409260002,01,03,06349365,10,w,Ines,Scholz,oaos-schoenfeld@schulportal.sachsen.de,,,,381,,01,Oberschule Schönfeld,1363,,Schulweg 2,Schulweg,2,01561,Schönfeld,14627250,Schönfeld,050,13.706833287,51.305366854,035248,81254,Telefon,,,,,,,,,12,2,info@os-schoenfeld.de,http://www.os-schoenfeld.de
4331419,"Oberschule ""Anne Frank"" Stauchitz",2249,oaos-stauchitz,,409270004,01,03,06350483,10,w,Yvonne,Naujoks,oaos-stauchitz@schulportal.sachsen.de,,,,383,,01,"Oberschule ""Anne Frank"" Stauchitz",1364,,Riesaer Straße 20,Riesaer Straße,20,01594,Stauchitz,14627260,Stauchitz,170,13.217305021,51.24497651,035268,87270,Telefon,,,,,,,035268,8729970,12,2,mittelschule-stauchitz@t-online.de,https://cms.sachsen.schule/msstauchitz
4331450,Oberschule Weinböhla,2253,oaos-weinboehla,,409300003,01,03,06382937,10,m,Gregor,Nielebock,oaos-weinboehla@schulportal.sachsen.de,,,,578,,01,Oberschule Weinböhla,1365,,Sachsenstraße 33,Sachsenstraße,33,01689,Weinböhla,14627310,Weinböhla,020,13.569657726,51.165543025,035243,32261,Sekretariat,,,,,,,035243,32212,12,2,info@oswbl.de,http://www.mittelschule-weinboehla.de
